,0,Team,Real Team Name,Cleaned Blurb
107,"
Off Rtg: 110.4 (16th of 30)
      Def Rtg: 111.5 (20th of 30)
    ",SAC,Sacramento Kings,Off Rtg: 110.4 (16th of 30) Def Rtg: 111.5 (20th of 30)
108,"
Record:
    
      41-41, Finished 8th in NBA 
     Eastern Conference    
    
    
    
    
",DET,Detroit Pistons,"Record: 41-41, Finished 8th in NBA Eastern Conference"
109,Coach: Dwane Casey (41-41),DET,Detroit Pistons,Coach: Dwane Casey (41-41)
110,Executive: Ed Stefanski,DET,Detroit Pistons,Executive: Ed Stefanski
111,"
PTS/G: 
      107.0 (25th of 30)
      Opp PTS/G: 
      107.3 (7th of 30)
    ",DET,Detroit Pistons,PTS/G: 107.0 (25th of 30) Opp PTS/G: 107.3 (7th of 30)
112,"
SRS: -0.56 (17th of 30)
      
      Pace: 97.4 (28th of 30)
    ",DET,Detroit Pistons,SRS: -0.56 (17th of 30) Pace: 97.4 (28th of 30)
113,"
Off Rtg: 109.0 (21st of 30)
      Def Rtg: 109.2 (11th of 30)
    ",DET,Detroit Pistons,Off Rtg: 109.0 (21st of 30) Def Rtg: 109.2 (11th of 30)
114,"
Record:
    
      36-46, Finished 11th in NBA 
     Western Conference    
    
    
    
    
",MIN,Minnesota Timberwolves,"Record: 36-46, Finished 11th in NBA Western Conference"
115,"Coach: Tom Thibodeau (19-21), Ryan Saunders (17-25)",MIN,Minnesota Timberwolves,"Coach: Tom Thibodeau (19-21), Ryan Saunders (17-25)"
116,"Executive: Tom Thibodeau, Scott Layden",MIN,Minnesota Timberwolves,"Executive: Tom Thibodeau, Scott Layden"
117,"
PTS/G: 
      112.5 (13th of 30)
      Opp PTS/G: 
      114.0 (23rd of 30)
    ",MIN,Minnesota Timberwolves,PTS/G: 112.5 (13th of 30) Opp PTS/G: 114.0 (23rd of 30)
118,"
SRS: -1.02 (20th of 30)
      
      Pace: 100.2 (14th of 30)
    ",MIN,Minnesota Timberwolves,SRS: -1.02 (20th of 30) Pace: 100.2 (14th of 30)
119,"
Off Rtg: 111.4 (11th of 30)
      Def Rtg: 112.9 (24th of 30)
    ",MIN,Minnesota Timberwolves,Off Rtg: 111.4 (11th of 30) Def Rtg: 112.9 (24th of 30)
