,0,Team,Team,CleanedBlurb
25,"
Off Rtg: 112.4 (9th of 30)
      Def Rtg: 111.5 (21st of 30)
    ",LAC,Los Angeles Clippers,Off Rtg: 112.4 (9th of 30) Def Rtg: 111.5 (21st of 30)
26,"
Expected W-L: 43-39 (13th of 30)
    ",LAC,Los Angeles Clippers,Expected W-L: 43-39 (13th of 30)
27,"
Preseason Odds:
Championship +40000, Over-Under 
            37.0
          
",LAC,Los Angeles Clippers,"Preseason Odds: Championship +40000, Over-Under 37.0"
28,"
Arena: 
    STAPLES Center
  

  
    Attendance:
    710,327 (20th of 30)
  
",LAC,Los Angeles Clippers,"Arena: STAPLES Center Attendance: 710,327 (20th of 30)"
29,"NBA 2019 Playoffs:
Lost NBA Western Conference First Round (2-4) versus Golden State Warriors
 (Series Stats)",LAC,Los Angeles Clippers,NBA 2019 Playoffs: Lost NBA Western Conference First Round (2-4) versus Golden State Warriors  
30,"
Record:
    
      39-43, Finished 10th in NBA 
     Eastern Conference    
    
    
    
    
",MIA,Miami Heat,"Record: 39-43, Finished 10th in NBA Eastern Conference"
31,Coach: Erik Spoelstra (39-43),MIA,Miami Heat,Coach: Erik Spoelstra (39-43)
32,Executive: Pat Riley,MIA,Miami Heat,Executive: Pat Riley
33,"
PTS/G: 
      105.7 (26th of 30)
      Opp PTS/G: 
      105.9 (2nd of 30)
    ",MIA,Miami Heat,PTS/G: 105.7 (26th of 30) Opp PTS/G: 105.9 (2nd of 30)
34,"
SRS: -0.45 (16th of 30)
      
      Pace: 98.2 (23rd of 30)
    ",MIA,Miami Heat,SRS: -0.45 (16th of 30) Pace: 98.2 (23rd of 30)
35,"
Off Rtg: 107.3 (26th of 30)
      Def Rtg: 107.6 (6th of 30)
    ",MIA,Miami Heat,Off Rtg: 107.3 (26th of 30) Def Rtg: 107.6 (6th of 30)
36,"
Expected W-L: 40-42 (16th of 30)
    ",MIA,Miami Heat,Expected W-L: 40-42 (16th of 30)
37,"
Preseason Odds:
Championship +35000, Over-Under 
            43.0
          
",MIA,Miami Heat,"Preseason Odds: Championship +35000, Over-Under 43.0"
38,"
Arena: 
    AmericanAirlines Arena
  

  
    Attendance:
    805,264 (5th of 30)
  
",MIA,Miami Heat,"Arena: AmericanAirlines Arena Attendance: 805,264 (5th of 30)"
40,"
Record:
    
      51-31, Finished 3rd in NBA 
     Eastern Conference    
    
    
    
    
",PHI,Philadelphia 76ers,"Record: 51-31, Finished 3rd in NBA Eastern Conference"
41,Coach: Brett Brown (51-31),PHI,Philadelphia 76ers,Coach: Brett Brown (51-31)
42,Executive: Elton Brand,PHI,Philadelphia 76ers,Executive: Elton Brand
43,"
PTS/G: 
      115.2 (4th of 30)
      Opp PTS/G: 
      112.5 (19th of 30)
    ",PHI,Philadelphia 76ers,PTS/G: 115.2 (4th of 30) Opp PTS/G: 112.5 (19th of 30)
44,"
SRS: 2.25 (11th of 30)
      
      Pace: 101.6 (8th of 30)
    ",PHI,Philadelphia 76ers,SRS: 2.25 (11th of 30) Pace: 101.6 (8th of 30)
45,"
Off Rtg: 112.6 (8th of 30)
      Def Rtg: 110.0 (15th of 30)
    ",PHI,Philadelphia 76ers,Off Rtg: 112.6 (8th of 30) Def Rtg: 110.0 (15th of 30)
46,"
Expected W-L: 48-34 (11th of 30)
    ",PHI,Philadelphia 76ers,Expected W-L: 48-34 (11th of 30)
47,"
Preseason Odds:
Championship +2000, Over-Under 
            53.5
          
",PHI,Philadelphia 76ers,"Preseason Odds: Championship +2000, Over-Under 53.5"
48,"
Arena: 
    Wells Fargo Center
  

  
    Attendance:
    838,342 (1st of 30)
  
",PHI,Philadelphia 76ers,"Arena: Wells Fargo Center Attendance: 838,342 (1st of 30)"
49,"NBA 2019 Playoffs:
Won NBA Eastern Conference First Round (4-1) versus Brooklyn Nets
 (Series Stats)Lost NBA Eastern Conference Semifinals (3-4) versus Toronto Raptors
 (Series Stats)",PHI,Philadelphia 76ers,NBA 2019 Playoffs: Won NBA Eastern Conference First Round (4-1) versus Brooklyn Nets  Lost NBA Eastern Conference Semifinals (3-4) versus Toronto Raptors  
50,"
Record:
    
      49-33, Finished 4th in NBA 
     Eastern Conference    
    
    
    
    
",BOS,Boston Celtics,"Record: 49-33, Finished 4th in NBA Eastern Conference"
51,Coach: Brad Stevens (49-33),BOS,Boston Celtics,Coach: Brad Stevens (49-33)
52,Executive: Danny Ainge,BOS,Boston Celtics,Executive: Danny Ainge
53,"
PTS/G: 
      112.4 (14th of 30)
      Opp PTS/G: 
      108.0 (8th of 30)
    ",BOS,Boston Celtics,PTS/G: 112.4 (14th of 30) Opp PTS/G: 108.0 (8th of 30)
54,"
SRS: 3.90 (8th of 30)
      
      Pace: 99.6 (16th of 30)
    ",BOS,Boston Celtics,SRS: 3.90 (8th of 30) Pace: 99.6 (16th of 30)
55,"
Off Rtg: 112.2 (10th of 30)
      Def Rtg: 107.8 (7th of 30)
    ",BOS,Boston Celtics,Off Rtg: 112.2 (10th of 30) Def Rtg: 107.8 (7th of 30)
56,"
Expected W-L: 52-30 (6th of 30)
    ",BOS,Boston Celtics,Expected W-L: 52-30 (6th of 30)
57,"
Preseason Odds:
Championship +620, Over-Under 
            59.0
          
",BOS,Boston Celtics,"Preseason Odds: Championship +620, Over-Under 59.0"
58,"
Arena: 
    TD Garden
  

  
    Attendance:
    763,584 (11th of 30)
  
",BOS,Boston Celtics,"Arena: TD Garden Attendance: 763,584 (11th of 30)"
59,"NBA 2019 Playoffs:
Won NBA Eastern Conference First Round (4-0) versus Indiana Pacers
 (Series Stats)Lost NBA Eastern Conference Semifinals (1-4) versus Milwaukee Bucks
 (Series Stats)",BOS,Boston Celtics,NBA 2019 Playoffs: Won NBA Eastern Conference First Round (4-0) versus Indiana Pacers  Lost NBA Eastern Conference Semifinals (1-4) versus Milwaukee Bucks  
60,"
Record:
    
      33-49, Finished 14th in NBA 
     Western Conference    
    
    
    
    
",DAL,Dallas Mavericks,"Record: 33-49, Finished 14th in NBA Western Conference"
61,Coach: Rick Carlisle (33-49),DAL,Dallas Mavericks,Coach: Rick Carlisle (33-49)
62,Executive: Donn Nelson,DAL,Dallas Mavericks,Executive: Donn Nelson
63,"
PTS/G: 
      108.9 (21st of 30)
      Opp PTS/G: 
      110.1 (13th of 30)
    ",DAL,Dallas Mavericks,PTS/G: 108.9 (21st of 30) Opp PTS/G: 110.1 (13th of 30)
64,"
SRS: -0.86 (19th of 30)
      
      Pace: 99.0 (20th of 30)
    ",DAL,Dallas Mavericks,SRS: -0.86 (19th of 30) Pace: 99.0 (20th of 30)
65,"
Off Rtg: 109.4 (20th of 30)
      Def Rtg: 110.7 (18th of 30)
    ",DAL,Dallas Mavericks,Off Rtg: 109.4 (20th of 30) Def Rtg: 110.7 (18th of 30)
66,"
Expected W-L: 38-44 (21st of 30)
    ",DAL,Dallas Mavericks,Expected W-L: 38-44 (21st of 30)
67,"
Preseason Odds:
Championship +35000, Over-Under 
            35.5
          
",DAL,Dallas Mavericks,"Preseason Odds: Championship +35000, Over-Under 35.5"
68,"
Arena: 
    American Airlines Center
  

  
    Attendance:
    820,569 (3rd of 30)
  
",DAL,Dallas Mavericks,"Arena: American Airlines Center Attendance: 820,569 (3rd of 30)"
70,"
Record:
    
      53-29, Finished 4th in NBA 
     Western Conference    
    
    
    
    
",HOU,Houston Rockets,"Record: 53-29, Finished 4th in NBA Western Conference"
71,Coach: Mike D'Antoni (53-29),HOU,Houston Rockets,Coach: Mike D'Antoni (53-29)
72,Executive: Daryl Morey,HOU,Houston Rockets,Executive: Daryl Morey
73,"
PTS/G: 
      113.9 (11th of 30)
      Opp PTS/G: 
      109.1 (10th of 30)
    ",HOU,Houston Rockets,PTS/G: 113.9 (11th of 30) Opp PTS/G: 109.1 (10th of 30)
74,"
SRS: 4.96 (5th of 30)
      
      Pace: 97.9 (26th of 30)
    ",HOU,Houston Rockets,SRS: 4.96 (5th of 30) Pace: 97.9 (26th of 30)
75,"
Off Rtg: 115.5 (2nd of 30)
      Def Rtg: 110.7 (17th of 30)
    ",HOU,Houston Rockets,Off Rtg: 115.5 (2nd of 30) Def Rtg: 110.7 (17th of 30)
76,"
Expected W-L: 53-29 (5th of 30)
    ",HOU,Houston Rockets,Expected W-L: 53-29 (5th of 30)
77,"
Preseason Odds:
Championship +1000, Over-Under 
            56.5
          
",HOU,Houston Rockets,"Preseason Odds: Championship +1000, Over-Under 56.5"
78,"
Arena: 
    Toyota Center
  

  
    Attendance:
    740,392 (16th of 30)
  
",HOU,Houston Rockets,"Arena: Toyota Center Attendance: 740,392 (16th of 30)"
79,"NBA 2019 Playoffs:
Won NBA Western Conference First Round (4-1) versus Utah Jazz
 (Series Stats)Lost NBA Western Conference Semifinals (2-4) versus Golden State Warriors
 (Series Stats)",HOU,Houston Rockets,NBA 2019 Playoffs: Won NBA Western Conference First Round (4-1) versus Utah Jazz  Lost NBA Western Conference Semifinals (2-4) versus Golden State Warriors  
80,"
Record:
    
      48-34, Finished 5th in NBA 
     Eastern Conference    
    
    
    
    
",IND,Indiana Pacers,"Record: 48-34, Finished 5th in NBA Eastern Conference"
81,Coach: Nate McMillan (48-34),IND,Indiana Pacers,Coach: Nate McMillan (48-34)
82,Executive: Kevin Pritchard,IND,Indiana Pacers,Executive: Kevin Pritchard
83,"
PTS/G: 
      108.0 (22nd of 30)
      Opp PTS/G: 
      104.7 (1st of 30)
    ",IND,Indiana Pacers,PTS/G: 108.0 (22nd of 30) Opp PTS/G: 104.7 (1st of 30)
84,"
SRS: 2.76 (10th of 30)
      
      Pace: 98.1 (24th of 30)
    ",IND,Indiana Pacers,SRS: 2.76 (10th of 30) Pace: 98.1 (24th of 30)
85,"
Off Rtg: 109.9 (18th of 30)
      Def Rtg: 106.5 (3rd of 30)
    ",IND,Indiana Pacers,Off Rtg: 109.9 (18th of 30) Def Rtg: 106.5 (3rd of 30)
86,"
Expected W-L: 50-32 (9th of 30)
    ",IND,Indiana Pacers,Expected W-L: 50-32 (9th of 30)
87,"
Preseason Odds:
Championship +12500, Over-Under 
            47.5
          
",IND,Indiana Pacers,"Preseason Odds: Championship +12500, Over-Under 47.5"
88,"
Arena: 
    Bankers Life Fieldhouse
  

  
    Attendance:
    689,310 (22nd of 30)
  
",IND,Indiana Pacers,"Arena: Bankers Life Fieldhouse Attendance: 689,310 (22nd of 30)"
89,"NBA 2019 Playoffs:
Lost NBA Eastern Conference First Round (0-4) versus Boston Celtics
 (Series Stats)",IND,Indiana Pacers,NBA 2019 Playoffs: Lost NBA Eastern Conference First Round (0-4) versus Boston Celtics  
90,"
Record:
    
      58-24, Finished 2nd in NBA 
     Eastern Conference    
    
    
    
    
",TOR,Toronto Raptors,"Record: 58-24, Finished 2nd in NBA Eastern Conference"
91,Coach: Nick Nurse (58-24),TOR,Toronto Raptors,Coach: Nick Nurse (58-24)
92,Executive: Masai Ujiri,TOR,Toronto Raptors,Executive: Masai Ujiri
93,"
PTS/G: 
      114.4 (8th of 30)
      Opp PTS/G: 
      108.4 (9th of 30)
    ",TOR,Toronto Raptors,PTS/G: 114.4 (8th of 30) Opp PTS/G: 108.4 (9th of 30)
94,"
SRS: 5.49 (3rd of 30)
      
      Pace: 100.2 (15th of 30)
    ",TOR,Toronto Raptors,SRS: 5.49 (3rd of 30) Pace: 100.2 (15th of 30)
95,"
Off Rtg: 113.1 (5th of 30)
      Def Rtg: 107.1 (5th of 30)
    ",TOR,Toronto Raptors,Off Rtg: 113.1 (5th of 30) Def Rtg: 107.1 (5th of 30)
96,"
Expected W-L: 56-26 (3rd of 30)
    ",TOR,Toronto Raptors,Expected W-L: 56-26 (3rd of 30)
97,"
Preseason Odds:
Championship +1850, Over-Under 
            55.5
          
",TOR,Toronto Raptors,"Preseason Odds: Championship +1850, Over-Under 55.5"
98,"
Arena: 
    Scotiabank Arena
  

  
    Attendance:
    812,822 (4th of 30)
  
",TOR,Toronto Raptors,"Arena: Scotiabank Arena Attendance: 812,822 (4th of 30)"
99,"NBA 2019 Playoffs:
Won NBA Eastern Conference First Round (4-1) versus Orlando Magic
 (Series Stats)Won NBA Eastern Conference Semifinals (4-3) versus Philadelphia 76ers
 (Series Stats)Won NBA Eastern Conference Finals (4-2) versus Milwaukee Bucks
 (Series Stats)Won NBA Finals (4-2) versus Golden State Warriors
 (Series Stats)",TOR,Toronto Raptors,NBA 2019 Playoffs: Won NBA Eastern Conference First Round (4-1) versus Orlando Magic  Won NBA Eastern Conference Semifinals (4-3) versus Philadelphia 76ers  Won NBA Eastern Conference Finals (4-2) versus Milwaukee Bucks  Won NBA Finals (4-2) versus Golden State Warriors  
100,"
Record:
    
      54-28, Finished 2nd in NBA 
     Western Conference    
    
    
    
    
",DEN,Denver Nuggets,"Record: 54-28, Finished 2nd in NBA Western Conference"
101,Coach: Mike Malone (54-28),DEN,Denver Nuggets,Coach: Mike Malone (54-28)
102,Executive: Tim Connelly,DEN,Denver Nuggets,Executive: Tim Connelly
103,"
PTS/G: 
      110.7 (20th of 30)
      Opp PTS/G: 
      106.7 (6th of 30)
    ",DEN,Denver Nuggets,PTS/G: 110.7 (20th of 30) Opp PTS/G: 106.7 (6th of 30)
104,"
SRS: 4.19 (7th of 30)
      
      Pace: 97.7 (27th of 30)
    ",DEN,Denver Nuggets,SRS: 4.19 (7th of 30) Pace: 97.7 (27th of 30)
105,"
Off Rtg: 113.0 (6th of 30)
      Def Rtg: 108.9 (10th of 30)
    ",DEN,Denver Nuggets,Off Rtg: 113.0 (6th of 30) Def Rtg: 108.9 (10th of 30)
106,"
Expected W-L: 51-31 (8th of 30)
    ",DEN,Denver Nuggets,Expected W-L: 51-31 (8th of 30)
107,"
Preseason Odds:
Championship +20000, Over-Under 
            47.5
          
",DEN,Denver Nuggets,"Preseason Odds: Championship +20000, Over-Under 47.5"
108,"
Arena: 
    Pepsi Center
  

  
    Attendance:
    756,457 (12th of 30)
  
",DEN,Denver Nuggets,"Arena: Pepsi Center Attendance: 756,457 (12th of 30)"
109,"NBA 2019 Playoffs:
Won NBA Western Conference First Round (4-3) versus San Antonio Spurs
 (Series Stats)Lost NBA Western Conference Semifinals (3-4) versus Portland Trail Blazers
 (Series Stats)",DEN,Denver Nuggets,NBA 2019 Playoffs: Won NBA Western Conference First Round (4-3) versus San Antonio Spurs  Lost NBA Western Conference Semifinals (3-4) versus Portland Trail Blazers  
110,"
Record:
    
      50-32, Finished 5th in NBA 
     Western Conference    
    
    
    
    
",UTA,Utah Jazz,"Record: 50-32, Finished 5th in NBA Western Conference"
111,Coach: Quin Snyder (50-32),UTA,Utah Jazz,Coach: Quin Snyder (50-32)
112,Executive: Dennis Lindsey,UTA,Utah Jazz,Executive: Dennis Lindsey
113,"
PTS/G: 
      111.7 (17th of 30)
      Opp PTS/G: 
      106.5 (4th of 30)
    ",UTA,Utah Jazz,PTS/G: 111.7 (17th of 30) Opp PTS/G: 106.5 (4th of 30)
114,"
SRS: 5.28 (4th of 30)
      
      Pace: 100.3 (13th of 30)
    ",UTA,Utah Jazz,SRS: 5.28 (4th of 30) Pace: 100.3 (13th of 30)
115,"
Off Rtg: 110.9 (15th of 30)
      Def Rtg: 105.7 (2nd of 30)
    ",UTA,Utah Jazz,Off Rtg: 110.9 (15th of 30) Def Rtg: 105.7 (2nd of 30)
116,"
Expected W-L: 54-28 (4th of 30)
    ",UTA,Utah Jazz,Expected W-L: 54-28 (4th of 30)
117,"
Preseason Odds:
Championship +10000, Over-Under 
            49.5
          
",UTA,Utah Jazz,"Preseason Odds: Championship +10000, Over-Under 49.5"
118,"
Arena: 
    Vivint Smart Home Arena
  

  
    Attendance:
    750,546 (14th of 30)
  
",UTA,Utah Jazz,"Arena: Vivint Smart Home Arena Attendance: 750,546 (14th of 30)"
119,"NBA 2019 Playoffs:
Lost NBA Western Conference First Round (1-4) versus Houston Rockets
 (Series Stats)",UTA,Utah Jazz,NBA 2019 Playoffs: Lost NBA Western Conference First Round (1-4) versus Houston Rockets  
120,"
Record:
    
      42-40, Finished 6th in NBA 
     Eastern Conference    
    
    
    
    
",BRK,Brooklyn Nets,"Record: 42-40, Finished 6th in NBA Eastern Conference"
121,Coach: Kenny Atkinson (42-40),BRK,Brooklyn Nets,Coach: Kenny Atkinson (42-40)
122,Executive: Sean Marks,BRK,Brooklyn Nets,Executive: Sean Marks
123,"
PTS/G: 
      112.2 (15th of 30)
      Opp PTS/G: 
      112.3 (18th of 30)
    ",BRK,Brooklyn Nets,PTS/G: 112.2 (15th of 30) Opp PTS/G: 112.3 (18th of 30)
124,"
SRS: -0.40 (15th of 30)
      
      Pace: 100.8 (11th of 30)
    ",BRK,Brooklyn Nets,SRS: -0.40 (15th of 30) Pace: 100.8 (11th of 30)
125,"
Off Rtg: 109.6 (19th of 30)
      Def Rtg: 109.7 (14th of 30)
    ",BRK,Brooklyn Nets,Off Rtg: 109.6 (19th of 30) Def Rtg: 109.7 (14th of 30)
126,"
Expected W-L: 41-41 (15th of 30)
    ",BRK,Brooklyn Nets,Expected W-L: 41-41 (15th of 30)
127,"
Preseason Odds:
Championship +125000, Over-Under 
            32.0
          
",BRK,Brooklyn Nets,"Preseason Odds: Championship +125000, Over-Under 32.0"
128,"
Arena: 
    Barclays Center
  

  
    Attendance:
    612,597 (30th of 30)
  
",BRK,Brooklyn Nets,"Arena: Barclays Center Attendance: 612,597 (30th of 30)"
129,"NBA 2019 Playoffs:
Lost NBA Eastern Conference First Round (1-4) versus Philadelphia 76ers
 (Series Stats)",BRK,Brooklyn Nets,NBA 2019 Playoffs: Lost NBA Eastern Conference First Round (1-4) versus Philadelphia 76ers  
130,"
Record:
    
      39-43, Finished 9th in NBA 
     Eastern Conference    
    
    
    
    
",CHO,Charlotte Hornets,"Record: 39-43, Finished 9th in NBA Eastern Conference"
131,Coach: James Borrego (39-43),CHO,Charlotte Hornets,Coach: James Borrego (39-43)
132,Executive: Mitch Kupchak,CHO,Charlotte Hornets,Executive: Mitch Kupchak
133,"
PTS/G: 
      110.7 (19th of 30)
      Opp PTS/G: 
      111.8 (17th of 30)
    ",CHO,Charlotte Hornets,PTS/G: 110.7 (19th of 30) Opp PTS/G: 111.8 (17th of 30)
134,"
SRS: -1.32 (22nd of 30)
      
      Pace: 98.7 (21st of 30)
    ",CHO,Charlotte Hornets,SRS: -1.32 (22nd of 30) Pace: 98.7 (21st of 30)
135,"
Off Rtg: 111.4 (12th of 30)
      Def Rtg: 112.5 (22nd of 30)
    ",CHO,Charlotte Hornets,Off Rtg: 111.4 (12th of 30) Def Rtg: 112.5 (22nd of 30)
136,"
Expected W-L: 38-44 (19th of 30)
    ",CHO,Charlotte Hornets,Expected W-L: 38-44 (19th of 30)
137,"
Preseason Odds:
Championship +50000, Over-Under 
            35.5
          
",CHO,Charlotte Hornets,"Preseason Odds: Championship +50000, Over-Under 35.5"
138,"
Arena: 
    Spectrum Center
  

  
    Attendance:
    676,570 (23rd of 30)
  
",CHO,Charlotte Hornets,"Arena: Spectrum Center Attendance: 676,570 (23rd of 30)"
140,"
Record:
    
      49-33, Finished 6th in NBA 
     Western Conference    
    
    
    
    
",OKC,Oklahoma City Thunder,"Record: 49-33, Finished 6th in NBA Western Conference"
141,Coach: Billy Donovan (49-33),OKC,Oklahoma City Thunder,Coach: Billy Donovan (49-33)
142,Executive: Sam Presti,OKC,Oklahoma City Thunder,Executive: Sam Presti
143,"
PTS/G: 
      114.5 (7th of 30)
      Opp PTS/G: 
      111.1 (15th of 30)
    ",OKC,Oklahoma City Thunder,PTS/G: 114.5 (7th of 30) Opp PTS/G: 111.1 (15th of 30)
144,"
SRS: 3.56 (9th of 30)
      
      Pace: 102.8 (6th of 30)
    ",OKC,Oklahoma City Thunder,SRS: 3.56 (9th of 30) Pace: 102.8 (6th of 30)
145,"
Off Rtg: 110.3 (17th of 30)
      Def Rtg: 107.0 (4th of 30)
    ",OKC,Oklahoma City Thunder,Off Rtg: 110.3 (17th of 30) Def Rtg: 107.0 (4th of 30)
146,"
Expected W-L: 50-32 (10th of 30)
    ",OKC,Oklahoma City Thunder,Expected W-L: 50-32 (10th of 30)
147,"
Preseason Odds:
Championship +3800, Over-Under 
            48.5
          
",OKC,Oklahoma City Thunder,"Preseason Odds: Championship +3800, Over-Under 48.5"
148,"
Arena: 
    Chesapeake Energy Arena
  

  
    Attendance:
    746,323 (15th of 30)
  
",OKC,Oklahoma City Thunder,"Arena: Chesapeake Energy Arena Attendance: 746,323 (15th of 30)"
149,"NBA 2019 Playoffs:
Lost NBA Western Conference First Round (1-4) versus Portland Trail Blazers
 (Series Stats)",OKC,Oklahoma City Thunder,NBA 2019 Playoffs: Lost NBA Western Conference First Round (1-4) versus Portland Trail Blazers  
150,"
Record:
    
      42-40, Finished 7th in NBA 
     Eastern Conference    
    
    
    
    
",ORL,Orlando Magic,"Record: 42-40, Finished 7th in NBA Eastern Conference"
151,Coach: Steve Clifford (42-40),ORL,Orlando Magic,Coach: Steve Clifford (42-40)
152,Executive: Jeff Weltman,ORL,Orlando Magic,Executive: Jeff Weltman
153,"
PTS/G: 
      107.3 (24th of 30)
      Opp PTS/G: 
      106.6 (5th of 30)
    ",ORL,Orlando Magic,PTS/G: 107.3 (24th of 30) Opp PTS/G: 106.6 (5th of 30)
154,"
SRS: 0.28 (14th of 30)
      
      Pace: 98.1 (25th of 30)
    ",ORL,Orlando Magic,SRS: 0.28 (14th of 30) Pace: 98.1 (25th of 30)
155,"
Off Rtg: 108.9 (22nd of 30)
      Def Rtg: 108.1 (8th of 30)
    ",ORL,Orlando Magic,Off Rtg: 108.9 (22nd of 30) Def Rtg: 108.1 (8th of 30)
156,"
Expected W-L: 43-39 (14th of 30)
    ",ORL,Orlando Magic,Expected W-L: 43-39 (14th of 30)
157,"
Preseason Odds:
Championship +75000, Over-Under 
            31.0
          
",ORL,Orlando Magic,"Preseason Odds: Championship +75000, Over-Under 31.0"
158,"
Arena: 
    Amway Center
  

  
    Attendance:
    720,024 (18th of 30)
  
",ORL,Orlando Magic,"Arena: Amway Center Attendance: 720,024 (18th of 30)"
159,"NBA 2019 Playoffs:
Lost NBA Eastern Conference First Round (1-4) versus Toronto Raptors
 (Series Stats)",ORL,Orlando Magic,NBA 2019 Playoffs: Lost NBA Eastern Conference First Round (1-4) versus Toronto Raptors  
160,"
Record:
    
      19-63, Finished 15th in NBA 
     Western Conference    
    
    
    
    
",PHO,Phoenix Suns,"Record: 19-63, Finished 15th in NBA Western Conference"
161,Coach: Igor Kokoskov (19-63),PHO,Phoenix Suns,Coach: Igor Kokoskov (19-63)
162,"Executive: James Jones, Trevor Bukstein",PHO,Phoenix Suns,"Executive: James Jones, Trevor Bukstein"
163,"
PTS/G: 
      107.5 (23rd of 30)
      Opp PTS/G: 
      116.8 (28th of 30)
    ",PHO,Phoenix Suns,PTS/G: 107.5 (23rd of 30) Opp PTS/G: 116.8 (28th of 30)
164,"
SRS: -8.61 (28th of 30)
      
      Pace: 100.5 (12th of 30)
    ",PHO,Phoenix Suns,SRS: -8.61 (28th of 30) Pace: 100.5 (12th of 30)
165,"
Off Rtg: 105.9 (28th of 30)
      Def Rtg: 115.1 (29th of 30)
    ",PHO,Phoenix Suns,Off Rtg: 105.9 (28th of 30) Def Rtg: 115.1 (29th of 30)
166,"
Expected W-L: 19-63 (28th of 30)
    ",PHO,Phoenix Suns,Expected W-L: 19-63 (28th of 30)
167,"
Preseason Odds:
Championship +75000, Over-Under 
            29.0
          
",PHO,Phoenix Suns,"Preseason Odds: Championship +75000, Over-Under 29.0"
